Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.174
                    "
"Avenida Pedro Calazans, 774 - Getúlio Vargas, Aracaju - SE",10,6,4,"
                  2
                ","
                            R$ 350.000
                    "
"Rua Sergipe, 1080 - Siqueira Campos, Aracaju - SE",243,3,1,"
                  2
                ","
                            R$ 350.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",307,2,2,"
                  1
                ","
                            R$ 750.062
                    "
"Avenida Inácio Barbosa - Zona de Expansao Mosqueiro, Aracaju - SE",203,4,4,"
                  2
                ","
                            R$ 680.134
                    "
"Rua Antônio Valença Monteiro, 37 - Farolândia, Aracaju - SE",162,3,1,"
                  1
                ","
                            R$ 350.000
                    "
"Rua Zózimo Lima - Suíssa, Aracaju - SE",150,4,4,"
                  2
                ","
                            R$ 580.000
                    "
"Rua Dois, 800 - Farolândia, Aracaju - SE",280,4,4,"
                  2
                ","
                            R$ 549.990
                    "
"Rua Lino Bispo Maia - Mosqueiro, Aracaju - SE",170,2,3,"
                  3
                ","
                            R$ 180.134
                    "
"Rua Maria de Lourdes Ramos Gonçalves, 113 - Farolândia, Aracaju - SE",150,4,2,"
                  2
                ","
                            R$ 540.000
                    "
"Siqueira Campos, Aracaju - SE",135,3,2,"
                  2
                ","
                            R$ 280.000
                    "
"Avenida Silvério Leite Fontes - Aruana, Aracaju - SE",176,3,3,"
                  1
                ","
                            R$ 380.000
                    "
"Rua Dois, 0 - Coroa do Meio, Aracaju - SE",200,3,1,"
                  --
                ","
                            R$ 699.000
                    "
"Travessa Manoel Sandes, 36 - Getúlio Vargas, Aracaju - SE",540,3,3,"
                  2
                ","
                            R$ 300.000
                    "
"São Conrado, Aracaju - SE",160,3,2,"
                  1
                ","
                            R$ 270.000
                    "
"Rua E, 51 - Aeroporto, Aracaju - SE",220,3,3,"
                  2
                ","
                            R$ 350.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",470,4,1,"
                  4
                ","
                            R$ 2.100.072
                    "
"Rua H, 24 - Aeroporto, Aracaju - SE",230,3,4,"
                  3
                ","
                            R$ 555.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",470,4,1,"
                  4
                ","
                            R$ 2.100.013
                    "
"Rua Orlando Tavares Macedo, 800 - Aruana, Aracaju - SE",150,3,3,"
                  4
                ","
                            R$ 620.000
                    "
"Rua José Steremberg, 147 - Atalaia, Aracaju - SE",337,3,4,"
                  4
                ","
                            R$ 700.000
                    "
"Rua Carlos Menezes - Dezoito do Forte, Aracaju - SE",135,4,2,"
                  1
                ","
                            R$ 180.135
                    "
"Rua Antônio Oliva Paiva, 0 - Atalaia, Aracaju - SE",435,3,3,"
                  --
                ","
                            R$ 1.300.000
                    "
"Rua Aline Santos França, 1 - Aruana, Aracaju - SE",200,2,1,"
                  --
                ","
                            R$ 300.000
                    "
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
                            R$ 520.040
                    "
"Rua Pureza Bonfim, 0 - Santos Dumont, Aracaju - SE",160,3,1,"
                  --
                ","
                            R$ 139.000
                    "
"Avenida General Euclides Figueiredo, 226 - Porto Dantas, Aracaju - SE",53,2,1,"
                  --
                ","
                            R$ 90.000
                    "
"Rua Volney Loureiro Tavares, 98 - Inácio Barbosa, Aracaju - SE",337,4,5,"
                  4
                ","
                            R$ 750.000
                    "
"Rua Promotor Arquibaldo Mendonça, 301 - Suíssa, Aracaju - SE",230,3,3,"
                  2
                ","
                            R$ 1.220.000
                    "
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
                            R$ 650.165
                    "
"Rua Construtor Genival Maciel, 150 - Atalaia, Aracaju - SE",330,4,4,"
                  2
                ","
                            R$ 800.000
                    "
"Rua Anchieta, 5 - Bugio, Aracaju - SE",520,4,3,"
                  2
                ","
                            R$ 380.000
                    "
"Rua Carlos Gomes - Farolândia, Aracaju - SE",180,3,1,"
                  1
                ","
                            R$ 315.096
                    "
"Rua João Mota dos Santos - Robalo, Aracaju - SE",200,3,4,"
                  2
                ","
                            R$ 1.050.075
                    "
"Rua Monte Castelo, 241 - Dezoito do Forte, Aracaju - SE",160,3,2,"
                  3
                ","
                            R$ 320.000
                    "
"Aruana, Aracaju - SE",180,3,2,"
                  2
                ","
                            R$ 370.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.174
                    "
"Avenida Pedro Calazans, 774 - Getúlio Vargas, Aracaju - SE",10,6,4,"
                  2
                ","
                            R$ 350.000
                    "
"Rua Sergipe, 1080 - Siqueira Campos, Aracaju - SE",243,3,1,"
                  2
                ","
                            R$ 350.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",307,2,2,"
                  1
                ","
                            R$ 750.062
                    "
"Avenida Inácio Barbosa - Zona de Expansao Mosqueiro, Aracaju - SE",203,4,4,"
                  2
                ","
                            R$ 680.134
                    "
"Rua Antônio Valença Monteiro, 37 - Farolândia, Aracaju - SE",162,3,1,"
                  1
                ","
                            R$ 350.000
                    "
"Rua Zózimo Lima - Suíssa, Aracaju - SE",150,4,4,"
                  2
                ","
                            R$ 580.000
                    "
"Rua Dois, 800 - Farolândia, Aracaju - SE",280,4,4,"
                  2
                ","
                            R$ 549.990
                    "
"Rua Lino Bispo Maia - Mosqueiro, Aracaju - SE",170,2,3,"
                  3
                ","
                            R$ 180.134
                    "
"Rua Maria de Lourdes Ramos Gonçalves, 113 - Farolândia, Aracaju - SE",150,4,2,"
                  2
                ","
                            R$ 540.000
                    "
"Siqueira Campos, Aracaju - SE",135,3,2,"
                  2
                ","
                            R$ 280.000
                    "
"Avenida Silvério Leite Fontes - Aruana, Aracaju - SE",176,3,3,"
                  1
                ","
                            R$ 380.000
                    "
"Rua Dois, 0 - Coroa do Meio, Aracaju - SE",200,3,1,"
                  --
                ","
                            R$ 699.000
                    "
"Travessa Manoel Sandes, 36 - Getúlio Vargas, Aracaju - SE",540,3,3,"
                  2
                ","
                            R$ 300.000
                    "
"São Conrado, Aracaju - SE",160,3,2,"
                  1
                ","
                            R$ 270.000
                    "
"Rua E, 51 - Aeroporto, Aracaju - SE",220,3,3,"
                  2
                ","
                            R$ 350.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",470,4,1,"
                  4
                ","
                            R$ 2.100.072
                    "
"Rua H, 24 - Aeroporto, Aracaju - SE",230,3,4,"
                  3
                ","
                            R$ 555.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",470,4,1,"
                  4
                ","
                            R$ 2.100.013
                    "
"Rua Orlando Tavares Macedo, 800 - Aruana, Aracaju - SE",150,3,3,"
                  4
                ","
                            R$ 620.000
                    "
"Rua José Steremberg, 147 - Atalaia, Aracaju - SE",337,3,4,"
                  4
                ","
                            R$ 700.000
                    "
"Rua Carlos Menezes - Dezoito do Forte, Aracaju - SE",135,4,2,"
                  1
                ","
                            R$ 180.135
                    "
"Rua Antônio Oliva Paiva, 0 - Atalaia, Aracaju - SE",435,3,3,"
                  --
                ","
                            R$ 1.300.000
                    "
"Rua Aline Santos França, 1 - Aruana, Aracaju - SE",200,2,1,"
                  --
                ","
                            R$ 300.000
                    "
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
                            R$ 520.040
                    "
"Rua Pureza Bonfim, 0 - Santos Dumont, Aracaju - SE",160,3,1,"
                  --
                ","
                            R$ 139.000
                    "
"Avenida General Euclides Figueiredo, 226 - Porto Dantas, Aracaju - SE",53,2,1,"
                  --
                ","
                            R$ 90.000
                    "
"Rua Volney Loureiro Tavares, 98 - Inácio Barbosa, Aracaju - SE",337,4,5,"
                  4
                ","
                            R$ 750.000
                    "
"Rua Promotor Arquibaldo Mendonça, 301 - Suíssa, Aracaju - SE",230,3,3,"
                  2
                ","
                            R$ 1.220.000
                    "
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
                            R$ 650.165
                    "
"Rua Construtor Genival Maciel, 150 - Atalaia, Aracaju - SE",330,4,4,"
                  2
                ","
                            R$ 800.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.199
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.188
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.089
                    "
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
                            R$ 2.100.081
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.062
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.193
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.008
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.118
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.013
                    "
"Rua Poeta Manuel Bandeira, 0 - Atalaia, Aracaju - SE",125,3,1,"
                  1
                ","
                            R$ 459.000
                    "
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
                            R$ 2.100.055
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",440,4,5,"
                  4
                ","
                            R$ 2.100.036
                    "
"Rua Doutor Canuto Garcia Moreno, 10 - Luzia, Aracaju - SE",150,3,1,"
                  2
                ","
                            R$ 370.000
                    "
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
                            R$ 2.100.194
                    "
"Rua Antônio Souza Montes, 151 - São Conrado, Aracaju - SE",200,3,3,"
                  2
                ","
                            R$ 340.000
                    "
"Travessa São José, 22 - Industrial, Aracaju - SE",86,3,1,"
                  1
                ","
                            R$ 220.000
                    "
"Rua Valdomiro Ferreira Lima, 30 - Farolândia, Aracaju - SE",162,2,2,"
                  3
                ","
                            R$ 350.000
                    "
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
                            R$ 580.064
                    "
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
                            R$ 580.034
                    "
"Rua João Carvalho de Aragão - Atalaia, Aracaju - SE",420,4,3,"
                  5
                ","
                            R$ 580.070
                    "
"Rua Soldado Luiz Rodrigues da Silva, 22 - São Conrado, Aracaju - SE",120,2,2,"
                  2
                ","
                            R$ 230.000
                    "
"Rua Jordão de Oliveira, 623 - Atalaia, Aracaju - SE",105,2,2,"
                  1
                ","
                            R$ 310.000
                    "
"Rua Pastor Martim Luther King, 250 - Atalaia, Aracaju - SE",435,4,7,"
                  4
                ","
                            R$ 1.300.000
                    "
"Rua E, 156 - Aeroporto, Aracaju - SE",150,3,3,"
                  3
                ","
                            R$ 330.000
                    "
"Rua Osmundo Carvalho Leite, 62 - São Conrado, Aracaju - SE",152,3,3,"
                  3
                ","
                            R$ 420.000
                    "
"Farolândia, Aracaju - SE",230,3,2,"
                  2
                ","
                            R$ 330.000
                    "
"Santo Antônio, Aracaju - SE",295,3,4,"
                  5
                ","
                            R$ 449.000
                    "
"Aruana, Aracaju - SE",200,3,5,"
                  2
                ","
                            R$ 650.000
                    "
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
                            R$ 473.597
                    "
Nossa Senhora do Socorro - SE,140,2,1,"
                  2
                ","
                            R$ 195.123
                    "
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
                            R$ 473.675
                    "
Barra dos Coqueiros - SE,200,3,2,"
                  2
                ","
                            R$ 473.596
                    "
"Rua Joventina Alves, 255 - Salgado Filho, Aracaju - SE",300,4,3,"
                  --
                ","
                            R$ 450.000
                    "
"Rua das Bromélias - Aeroporto, Aracaju - SE",200,3,2,"
                  1
                ","
                            R$ 490.112
                    "
"Rua Major Hunaldo dos Santos - Farolândia, Aracaju - SE",200,3,2,"
                  1
                ","
                            R$ 268.177
                    "
"Rua Terêncio Sampaio, 01 - Grageru, Aracaju - SE",240,3,1,"
                  2
                ","
                            R$ 690.000
                    "
Nossa Senhora das Dores - SE,500,3,2,"
                  3
                ","
                            R$ 330.132
                    "
Nossa Senhora das Dores - SE,500,3,2,"
                  3
                ","
                            R$ 330.013
                    "
"Rua Florianópolis, 1184 - Siqueira Campos, Aracaju - SE",300,6,4,"
                  1
                ","
                            R$ 400.000
                    "
"Rua Lauro Azevedo de Souza, 78 - Bugio, Aracaju - SE",180,4,2,"
                  2
                ","
                            R$ 280.000
                    "
"Rua Orlando Tavares Macedo - Aruana, Aracaju - SE",340,4,5,"
                  2
                ","
                            R$ 1.200.000
                    "
"Rua Niceu Dantas - Atalaia, Aracaju - SE",520,5,5,"
                  1
                ","
                            R$ 1.100.029
                    "
"Rua Anchieta, 100 - Bugio, Aracaju - SE",225,3,3,"
                  2
                ","
                            R$ 250.000
                    "
"Rua Armando Fontes, 215 - Siqueira Campos, Aracaju - SE",162,3,3,"
                  2
                ","
                            R$ 280.000
                    "
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,4,"
                  1
                ","
                            R$ 850.189
                    "
"Rua Urbano Neto - Coroa do Meio, Aracaju - SE",140,3,1,"
                  3
                ","
                            R$ 700.195
                    "
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
                            R$ 520.171
                    "
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
                            R$ 520.106
                    "
"Avenida Doutor Tarcísio Daniel dos Santos - Farolândia, Aracaju - SE",250,5,3,"
                  1
                ","
                            R$ 480.057
                    "
"Rua José Cunha Alcântara - Farolândia, Aracaju - SE",120,3,1,"
                  2
                ","
                            R$ 520.148
                    "
"Avenida Inácio Barbosa, 1438 - Aruana, Aracaju - SE",1000,5,6,"
                  15
                ","
                            R$ 1.300.000
                    "
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
                            R$ 350.086
                    "
"Avenida Alexandre Alcino, 9 - Santa Maria, Aracaju - SE",13,2,1,"
                  1
                ","
                            R$ 135.000
                    "
"Farolândia, Aracaju - SE",162,4,2,"
                  1
                ","
                            R$ 600.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.109
                    "
"Avenida Coelho e Campos, 10 - Centro, Aracaju - SE",210,5,2,"
                  3
                ","
                            R$ 350.000
                    "
"Rua A, 52 - Porto Dantas, Aracaju - SE",130,2,2,"
                  1
                ","
                            R$ 200.000
                    "
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
                            R$ 850.196
                    "
Barra dos Coqueiros - SE,282,4,5,"
                  4
                ","
                            R$ 1.550.037
                    "
"Rua C, 134 - Dezoito do Forte, Aracaju - SE",180,3,2,"
                  2
                ","
                            R$ 155.000
                    "
"Travessa Manoel Sandes, 36 - Getúlio Vargas, Aracaju - SE",10,3,3,"
                  5
                ","
                            R$ 350.000
                    "
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",120,3,3,"
                  2
                ","
                            R$ 559.092
                    "
"Avenida Maria Anamira Amado Batista Neta, 635 - Zona de Expansao Mosqueiro, Aracaju - SE",171,3,3,"
                  4
                ","
                            R$ 490.033
                    "
"Avenida Paulo Figueredo Barreto - Lamarão, Aracaju - SE",200,3,2,"
                  1
                ","
                            R$ 135.000
                    "
"Ponto Novo, Aracaju - SE",120,2,2,"
                  1
                ","
                            R$ 275.000
                    "
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",171,3,3,"
                  4
                ","
                            R$ 550.100
                    "
"Rodovia dos Náufragos, 12320 - Zona de Expansao Areia Branca, Aracaju - SE",200,3,2,"
                  2
                ","
                            R$ 445.000
                    "
"Santa Maria, Aracaju - SE",126,3,1,"
                  2
                ","
                            R$ 280.000
                    "
"Avenida Inácio Barbosa, 105 - Zona de Expansao Mosqueiro, Aracaju - SE",130,4,3,"
                  2
                ","
                            R$ 545.000
                    "
"Rua Manoel Romão da Silva, 10 - Jabotiana, Aracaju - SE",160,2,2,"
                  1
                ","
                            R$ 225.000
                    "
"Rua Promotor Arquibaldo Mendonça - Suíssa, Aracaju - SE",311,4,5,"
                  4
                ","
                            R$ 1.100.000
                    "
"Rua Antônio Leite Guimarães - Farolândia, Aracaju - SE",144,3,3,"
                  1
                ","
                            R$ 290.035
                    "
"Rua Jordão de Oliveira, 1278 - Atalaia, Aracaju - SE",350,5,3,"
                  4
                ","
                            R$ 1.200.000
                    "
"Suíssa, Aracaju - SE",300,3,2,"
                  2
                ","
                            R$ 410.000
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
                            R$ 380.064
                    "
"Avenida Augusto Maynard, 604 - São José, Aracaju - SE",187,5,4,"
                  2
                ","
                            R$ 850.000
                    "
"Avenida Melício Machado - Aeroporto, Aracaju - SE",250,4,3,"
                  3
                ","
                            R$ 780.028
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
                            R$ 380.029
                    "
"Aeroporto, Aracaju - SE",210,4,6,"
                  2
                ","
                            R$ 470.000
                    "
"Rua João Batista Freire, 1000 - Jabutiana, Aracaju - SE",488,6,8,"
                  5
                ","
                            R$ 450.000
                    "
"Rua H - Aruana, Aracaju - SE",132,3,2,"
                  2
                ","
                            R$ 390.113
                    "
"Aruana, Aracaju - SE",180,3,2,"
                  2
                ","
                            R$ 370.029
                    "
"Rua Engenheiro Fook Mau, 0186 - Farolândia, Aracaju - SE",135,3,2,"
                  2
                ","
                            R$ 500.000
                    "
"Rua Joaquim Soares Bezerra, 21 - Farolândia, Aracaju - SE",206,3,2,"
                  2
                ","
                            R$ 400.000
                    "
"Travessa Fonte Grande - Industrial, Aracaju - SE",68,1,1,"
                  --
                ","
                            R$ 115.072
                    "
"Avenida Alan Kardec, 500 - Cirurgia, Aracaju - SE",280,6,6,"
                  2
                ","
                            R$ 500.000
                    "
"Rua Seis - Soledade, Aracaju - SE",100,3,3,"
                  1
                ","
                            R$ 250.162
                    "
"Rua Napoleão Teles de Oliveira, 55 - Luzia, Aracaju - SE",260,5,1,"
                  2
                ","
                            R$ 500.000
                    "
"Avenida Desembargador Maynard, 909 - Suíssa, Aracaju - SE",360,3,3,"
                  10
                ","
                            R$ 400.000
                    "
"Avenida Desembargador José Antonio de Andrade Goes, 0 - Coroa do Meio, Aracaju - SE",195,4,1,"
                  --
                ","
                            R$ 730.000
                    "
"Suíssa, Aracaju - SE",260,6,6,"
                  3
                ","
                            R$ 550.000
                    "
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
                            R$ 520.090
                    "
"Rua Três - Aruana, Aracaju - SE",100,3,3,"
                  2
                ","
                            R$ 520.161
                    "
"Rua M, 752 - Aruana, Aracaju - SE",180,3,1,"
                  2
                ","
                            R$ 999.000
                    "
"Rua Igor de Faro Franco, 120 - Atalaia, Aracaju - SE",74,3,2,"
                  1
                ","
                            R$ 250.000
                    "
Barra dos Coqueiros - SE,93,3,2,"
                  2
                ","
                            R$ 300.193
                    "
"Rua Oliveira Ribeiro - Santo Antônio, Aracaju - SE",350,5,4,"
                  3
                ","
                            R$ 650.083
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
                            R$ 2.000.061
                    "
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",233,3,5,"
                  4
                ","
                            R$ 969.001
                    "
"Avenida Murilo Dantas, 658 - Farolândia, Aracaju - SE",80,3,2,"
                  1
                ","
                            R$ 360.000
                    "
"Avenida Hermes Fontes - Suíssa, Aracaju - SE",150,3,2,"
                  2
                ","
                            R$ 414.036
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
                            R$ 2.000.053
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",1350,4,4,"
                  5
                ","
                            R$ 2.000.074
                    "
"Santo Antônio, Aracaju - SE",150,3,2,"
                  2
                ","
                            R$ 300.000
                    "
"Rua Fenelon Santos, 155 - Salgado Filho, Aracaju - SE",335,6,3,"
                  4
                ","
                            R$ 750.000
                    "
"Rua João Mota dos Santos - Robalo, Aracaju - SE",200,3,4,"
                  2
                ","
                            R$ 1.050.133
                    "
"Travessa Jadiel Benevides, 53 - Suíssa, Aracaju - SE",220,5,6,"
                  6
                ","
                            R$ 480.000
                    "
"Rua Doutor Yolando Vieira de Melo - Atalaia, Aracaju - SE",148,3,2,"
                  2
                ","
                            R$ 450.104
                    "
"Rua Padre Nestor Sampaio, 345 - Ponto Novo, Aracaju - SE",300,3,3,"
                  4
                ","
                            R$ 780.000
                    "
"Rua Três - Aruana, Aracaju - SE",280,3,5,"
                  4
                ","
                            R$ 1.750.167
                    "
"Rua Vereador Antônio Sinval Machado, 0 - São Conrado, Aracaju - SE",150,3,2,"
                  1
                ","
                            R$ 300.000
                    "
"Rua Wilson Barbosa de Melo, 23 - Atalaia, Aracaju - SE",260,5,5,"
                  5
                ","
                            R$ 740.000
                    "
"Avenida Doutor José Calumby, 280 - Suíssa, Aracaju - SE",60,2,1,"
                  2
                ","
                            R$ 220.000
                    "
"Rua Jordão de Oliveira, 729 - Atalaia, Aracaju - SE",240,3,4,"
                  3
                ","
                            R$ 680.000
                    "
"Avenida Desembargador José Antonio de Andrade Goes, 0 - Coroa do Meio, Aracaju - SE",200,3,1,"
                  --
                ","
                            R$ 750.000
                    "
"Rua dos Estudantes - Getúlio Vargas, Aracaju - SE",320,4,4,"
                  3
                ","
                            R$ 500.000
                    "
"Rua Estância, 2203 - Cirurgia, Aracaju - SE",270,4,5,"
                  2
                ","
                            R$ 580.000
                    "
"Rua Agenor Machado de Freitas, 0 - Farolândia, Aracaju - SE",400,5,2,"
                  --
                ","
                            R$ 1.200.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.019
                    "
"Rua Comandante Miranda, 99880 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
                            R$ 250.023
                    "
"Avenida José Conrado de Araújo, 423 - Industrial, Aracaju - SE",132,3,1,"
                  --
                ","
                            R$ 195.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.094
                    "
"Atalaia, Aracaju - SE",90,3,2,"
                  --
                ","
                            R$ 475.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.162
                    "
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
                            R$ 850.001
                    "
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
                            R$ 850.009
                    "
"Avenida Augusto Franco - Ponto Novo, Aracaju - SE",150,4,3,"
                  2
                ","
                            R$ 850.197
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.082
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.035
                    "
"Rua da Concórdia, 10 - Atalaia, Aracaju - SE",365,3,5,"
                  4
                ","
                            R$ 1.500.000
                    "
"Rua Doutor Silvio Cabral de Santana - Aruana, Aracaju - SE",319,4,4,"
                  4
                ","
                            R$ 2.100.004
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.020
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.069
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.065
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.042
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.061
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.091
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.123
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.191
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.129
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.102
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.143
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.112
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.097
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.043
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.100
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.112
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.133
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.028
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.011
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.010
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.071
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.144
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.065
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.037
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.044
                    "
"Atalaia, Aracaju - SE",400,5,4,"
                  40
                ","
                            R$ 1.000.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.037
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.005
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.189
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.131
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.108
                    "
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
                            R$ 350.079
                    "
"Rua Antônio José de Souza, 61 - Luzia, Aracaju - SE",275,4,3,"
                  2
                ","
                            R$ 500.000
                    "
"Avenida Central, 170 - Olaria, Aracaju - SE",50,2,1,"
                  2
                ","
                            R$ 160.000
                    "
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
                            R$ 500.175
                    "
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
                            R$ 500.127
                    "
"Rua Euclides Góis - Coroa do Meio, Aracaju - SE",159,4,2,"
                  4
                ","
                            R$ 500.192
                    "
"Aruana, Aracaju - SE",200,3,2,"
                  2
                ","
                            R$ 330.000
                    "
